time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2022-08-30T05:45:38.580Z,33.6973333,-116.7136667,16.27,1.31,ml,47,48,0.0138,0.17,ci,ci40334240,2022-08-30T05:56:51.140Z,"5km S of Idyllwild, CA",earthquake,0.22,0.36,0.242,28,automatic,ci,ci
2022-08-30T05:36:26.449Z,62.2195,-149.9072,16.3,1.4,ml,,,,0.44,ak,ak022b4b8xck,2022-08-30T05:38:07.244Z,"7 km NNW of Susitna North, Alaska",earthquake,,0.2,,,automatic,ak,ak
2022-08-30T05:35:58.383Z,4.1972,62.689,10,4.8,mb,59,86,10.754,0.33,us,us7000i3lq,2022-08-30T05:53:06.040Z,"Carlsberg Ridge",earthquake,10.56,1.896,0.077,52,reviewed,us,us
2022-08-30T05:35:47.653Z,2.188,-84.5432,10,4.4,mb,63,158,6.396,0.38,us,us7000i3lp,2022-08-30T06:04:26.040Z,"off the coast of Central America",earthquake,10.35,1.955,0.066,65,reviewed,us,us
2022-08-30T05:28:06.362Z,4.1334,62.6851,10,4.7,mb,60,70,10.773,0.54,us,us7000i3ll,2022-08-30T05:46:04.040Z,"Carlsberg Ridge",earthquake,11.13,1.881,0.076,53,reviewed,us,us
2022-08-30T05:06:14.420Z,35.8596667,-121.4671667,5.21,1.72,md,25,197,0.2477,0.09,nc,nc73773355,2022-08-30T07:05:15.247Z,"20km SSE of Lopez Point, CA",earthquake,0.4,1.42,0.245,26,reviewed,nc,nc
2022-08-30T05:03:27.260Z,38.8785,-123.6253333,10.89,1.17,md,14,211,0.08674,0.1,nc,nc73773350,2022-08-30T06:57:12.194Z,"7km ESE of Point Arena, CA",earthquake,0.64,0.81,0.159,11,reviewed,nc,nc
2022-08-30T04:33:16.206Z,-0.0952,123.2087,158.596,4.4,mb,23,73,1.037,0.62,us,us7000i3lf,2022-08-30T04:54:09.040Z,"71 km SSE of Gorontalo, Indonesia",earthquake,7.79,7.995,0.139,15,reviewed,us,us
2022-08-30T04:20:36.510Z,38.7514992,-122.7060013,1.46,1.66,md,19,83,0.01786,0.09,nc,nc73773345,2022-08-30T06:39:12.081Z,"3km SSW of Anderson Springs, CA",earthquake,0.3,0.5,0.09,9,automatic,nc,nc
2022-08-30T04:00:26.606Z,-14.5127,170.3138,616.071,4.3,mb,78,49,3.146,0.42,us,us7000i3ld,2022-08-30T04:22:45.040Z,"Vanuatu region",earthquake,12.47,8.415,0.043,151,reviewed,us,us
2022-08-30T03:58:18.080Z,17.8228333333333,-65.9665,12.99,2.75,md,8,293,,0.13,pr,pr71368698,2022-08-30T04:21:56.150Z,"17 km S of Lamboglia, Puerto Rico",earthquake,0.76,0.52,0.0503734799484175,3,reviewed,pr,pr
2022-08-30T03:49:34.760Z,38.6651,20.5171,10,4.6,mb,68,98,1.278,1.31,us,us7000i3l9,2022-08-30T08:37:16.131Z,"24 km SW of Lefkáda, Greece",earthquake,2.14,1.88,0.078,49,reviewed,us,us
